ph,turbidity,dissolved_oxygen,temperature,rainfall,humidity,population_density,sanitation_index,bacterial_count,ecoli_count,chlorine_level,water_source,region_type,season,previous_cases,disease_risk,waterborne_disease
7.32,0.23,8.35,23.95,115.65,54.41,725.0,67.19,37.0,1.0,1.696,Groundwater,Semi-Urban,Winter,4,Low,No Disease - Water is Safe
9.02,76.62,3.71,34.73,327.81,88.14,3703.0,24.94,1185.0,125.0,0.195,Pond,Hilly,Monsoon,47,High,Cryptosporidiosis
6.71,6.38,8.57,23.26,66.24,54.99,999.0,72.08,94.0,4.0,1.41,Lake,Urban,Spring,4,Low,Safe for Consumption
9.14,20.22,3.17,31.65,580.19,73.61,4595.0,29.84,1383.0,195.0,0.16,Well,Rural,Monsoon,50,High,Cryptosporidiosis
6.83,12.82,5.98,26.97,93.2,66.14,3444.0,59.21,443.0,35.0,0.42,River,Rural,Summer,17,Medium,Typhoid
7.46,11.13,6.38,20.34,173.36,91.87,135.0,54.15,456.0,5.0,0.308,Lake,Coastal,Summer,18,Medium,Hepatitis A
7.17,17.61,6.18,31.67,141.63,81.77,1320.0,67.16,479.0,32.0,0.998,River,Semi-Urban,Summer,24,Medium,Typhoid
6.85,0.57,9.55,19.29,76.34,42.85,495.0,72.29,20.0,0.0,1.35,Lake,Semi-Urban,Winter,3,Low,No Disease - Water is Safe
6.84,0.31,8.4,23.69,0.9,60.98,441.0,83.51,16.0,6.0,1.328,Tap,Urban,Winter,5,Low,No Disease - Water is Safe
7.13,0.14,7.94,22.53,4.55,51.97,208.0,79.74,12.0,6.0,2.181,Tap,Semi-Urban,Spring,5,Low,No Disease - Water is Safe
6.95,8.66,7.18,23.07,4.35,41.58,147.0,73.79,340.0,6.0,1.81,Lake,Urban,Spring,1,Low,Safe for Consumption
5.03,23.72,2.32,33.38,166.7,84.14,4015.0,28.68,980.0,171.0,0.182,Pond,Hilly,Summer,55,High,Hepatitis E
7.15,0.77,8.52,21.82,60.37,56.56,493.0,72.53,37.0,21.0,1.368,Groundwater,Urban,Winter,4,Low,No Disease - Water is Safe
4.85,23.1,3.41,34.87,392.89,77.22,2165.0,27.28,1337.0,57.0,0.141,River,Hilly,Monsoon,42,High,Dysentery
6.31,13.83,5.39,33.5,123.29,62.8,1680.0,36.9,227.0,0.0,0.979,Lake,Rural,Spring,17,Medium,Giardiasis
6.64,13.29,5.25,18.73,159.93,61.97,4246.0,40.74,406.0,42.0,0.672,Lake,Rural,Spring,25,Medium,Diarrhea
7.03,1.14,10.42,24.81,4.05,51.24,1563.0,79.41,252.0,8.0,1.022,Groundwater,Semi-Urban,Winter,4,Low,No Disease - Water is Safe
7.51,3.96,9.18,20.86,66.14,70.98,589.0,82.77,3.0,4.0,1.622,Tap,Semi-Urban,Spring,0,Low,No Disease - Water is Safe
8.92,128.66,2.84,34.9,457.16,79.69,3089.0,36.86,2320.0,165.0,0.241,Pond,Hilly,Monsoon,53,High,Cryptosporidiosis
7.21,1.55,6.79,22.9,67.93,43.64,1492.0,80.27,102.0,13.0,1.857,Lake,Urban,Spring,2,Low,Safe for Consumption
6.59,9.07,6.86,29.37,100.92,88.98,1661.0,50.73,442.0,46.0,0.621,Well,Semi-Urban,Summer,17,Medium,Hepatitis A
6.58,13.16,5.78,37.34,212.22,78.64,2711.0,57.32,506.0,55.0,0.658,Lake,Semi-Urban,Spring,15,Medium,Giardiasis
6.27,8.95,6.31,34.05,156.14,60.67,965.0,48.7,512.0,47.0,1.14,Well,Coastal,Summer,15,Medium,Diarrhea
8.9,46.11,3.96,34.17,150.75,71.38,1915.0,8.42,1641.0,147.0,0.159,Well,Hilly,Monsoon,49,High,E. coli Infection
7.18,14.89,6.09,30.87,178.35,53.33,445.0,62.54,331.0,28.0,0.644,River,Semi-Urban,Summer,18,Medium,Giardiasis
7.75,0.67,7.81,23.48,32.79,70.2,708.0,92.3,156.0,13.0,1.591,Lake,Urban,Winter,4,Low,No Disease - Water is Safe
7.37,3.28,9.64,21.25,58.29,35.87,950.0,83.78,94.0,4.0,2.303,Tap,Semi-Urban,Winter,5,Low,No Disease - Water is Safe
7.27,1.8,8.81,24.91,16.81,39.24,92.0,89.72,92.0,12.0,1.486,Groundwater,Urban,Spring,2,Low,No Disease - Water is Safe
6.28,34.17,4.7,32.81,309.73,69.35,11063.0,43.62,1931.0,184.0,0.247,Pond,Rural,Summer,41,High,Cholera
8.49,48.53,4.07,31.21,190.2,72.04,6132.0,32.5,720.0,194.0,0.23,River,Rural,Summer,47,High,Cholera
6.87,13.67,4.53,30.67,191.43,58.77,575.0,32.2,325.0,16.0,0.627,Well,Rural,Summer,18,Medium,Typhoid
7.15,15.78,7.32,29.02,80.18,76.48,855.0,39.23,225.0,56.0,1.173,River,Rural,Summer,8,Medium,Giardiasis
7.34,2.96,9.65,21.91,1.73,68.46,1983.0,84.31,176.0,21.0,1.844,Tap,Urban,Spring,3,Low,No Disease - Water is Safe
6.8,1.75,8.03,23.2,66.13,57.56,302.0,77.8,326.0,3.0,1.655,Groundwater,Urban,Winter,1,Low,No Disease - Water is Safe
8.11,13.02,6.38,27.82,199.47,72.79,338.0,53.85,476.0,48.0,0.322,River,Semi-Urban,Spring,16,Medium,Hepatitis A
7.29,1.33,9.04,19.83,96.43,65.1,240.0,74.69,199.0,2.0,1.768,Tap,Urban,Spring,2,Low,No Disease - Water is Safe
7.04,1.87,8.12,22.41,104.54,62.6,93.0,91.33,60.0,16.0,1.566,Tap,Semi-Urban,Spring,2,Low,No Disease - Water is Safe
6.76,1.81,8.98,20.11,155.08,49.65,379.0,86.89,31.0,12.0,1.605,Groundwater,Urban,Spring,4,Low,No Disease - Water is Safe
7.33,13.2,4.54,30.73,130.59,61.07,1078.0,49.31,398.0,55.0,0.591,Well,Semi-Urban,Summer,11,Medium,Typhoid
8.26,13.98,5.08,32.1,113.17,88.11,819.0,56.58,503.0,47.0,0.746,River,Coastal,Summer,19,Medium,Giardiasis
6.61,6.1,7.31,27.49,168.12,83.36,1755.0,52.12,240.0,22.0,0.596,Lake,Semi-Urban,Spring,12,Medium,Typhoid
6.99,0.28,8.76,25.18,40.09,61.96,120.0,92.23,93.0,1.0,1.377,Tap,Urban,Spring,2,Low,No Disease - Water is Safe
7.03,9.2,6.46,28.75,151.13,47.78,1621.0,50.8,409.0,36.0,0.362,River,Semi-Urban,Spring,20,Medium,Hepatitis A
6.7,0.5,8.18,21.8,95.83,38.65,140.0,89.59,87.0,0.0,1.34,Tap,Semi-Urban,Spring,1,Low,No Disease - Water is Safe
5.24,125.89,3.47,36.01,430.16,68.88,4163.0,37.41,1082.0,143.0,0.097,Pond,Rural,Monsoon,50,High,E. coli Infection
6.02,7.9,4.89,22.63,134.85,92.19,2478.0,57.58,350.0,25.0,0.424,River,Coastal,Summer,18,Medium,Diarrhea
6.45,20.7,6.98,28.15,148.23,74.86,581.0,70.62,282.0,53.0,0.717,Well,Coastal,Summer,10,Medium,Hepatitis A
7.55,5.86,9.42,24.04,29.32,51.03,153.0,78.37,156.0,1.0,1.521,Lake,Urban,Winter,2,Low,No Disease - Water is Safe
7.53,1.0,10.57,22.25,43.11,38.34,168.0,80.86,60.0,5.0,1.737,Groundwater,Semi-Urban,Spring,2,Low,Safe for Consumption
9.02,46.22,4.05,32.49,265.36,83.05,6990.0,18.78,1570.0,159.0,0.105,River,Rural,Summer,41,High,Cryptosporidiosis
8.92,20.6,3.51,36.38,283.53,85.44,2231.0,35.29,1250.0,234.0,0.044,Pond,Rural,Summer,54,High,Hepatitis E
6.95,0.4,7.47,26.47,35.27,41.56,1055.0,69.4,65.0,1.0,1.738,Tap,Semi-Urban,Spring,2,Low,No Disease - Water is Safe
6.03,16.02,5.26,25.51,164.88,77.85,2428.0,45.68,500.0,61.0,0.806,Well,Semi-Urban,Spring,18,Medium,Diarrhea
5.34,41.64,3.36,33.14,448.38,83.27,5714.0,28.95,862.0,209.0,0.151,Pond,Rural,Summer,46,High,Cholera
5.95,20.97,2.53,28.68,454.08,83.46,4749.0,44.28,1840.0,102.0,0.219,Well,Rural,Summer,38,High,Hepatitis E
6.81,0.04,9.16,25.57,47.08,65.14,225.0,85.24,161.0,23.0,1.039,Lake,Semi-Urban,Spring,1,Low,No Disease - Water is Safe
5.03,82.59,4.55,37.87,508.41,81.67,1535.0,28.96,1644.0,122.0,0.057,Pond,Coastal,Monsoon,44,High,Hepatitis E
5.68,38.02,3.63,34.04,394.98,63.46,2987.0,16.28,743.0,133.0,0.147,Well,Hilly,Monsoon,56,High,Cholera
6.02,56.37,3.25,31.58,165.72,63.96,2676.0,21.3,1788.0,219.0,0.082,Pond,Hilly,Monsoon,44,High,Cryptosporidiosis
6.38,9.75,4.35,27.58,181.62,71.94,638.0,58.06,487.0,68.0,0.822,River,Semi-Urban,Spring,17,Medium,Diarrhea
9.85,37.09,4.02,33.19,239.51,81.7,4422.0,28.49,2000.0,166.0,0.212,Pond,Coastal,Monsoon,37,High,E. coli Infection
4.84,44.36,2.5,31.9,617.17,92.96,1008.0,31.3,1361.0,172.0,0.071,River,Hilly,Monsoon,59,High,E. coli Infection
5.56,200.0,3.88,35.25,370.44,81.49,2021.0,40.05,1394.0,110.0,0.061,River,Hilly,Monsoon,42,High,Cryptosporidiosis
9.51,40.97,3.11,35.0,581.43,77.95,1985.0,43.77,2201.0,88.0,0.358,Well,Rural,Monsoon,45,High,Hepatitis E
7.28,14.13,6.0,28.74,163.64,79.82,2550.0,53.67,366.0,27.0,0.702,River,Coastal,Summer,17,Medium,Typhoid
9.77,116.16,3.4,34.79,248.4,79.08,3590.0,35.01,1561.0,133.0,0.033,River,Hilly,Summer,42,High,Dysentery
7.23,0.75,9.32,21.07,41.49,69.06,1394.0,63.22,104.0,1.0,1.459,Tap,Urban,Winter,4,Low,No Disease - Water is Safe
8.86,22.55,4.09,31.81,318.09,82.38,2524.0,20.64,1569.0,186.0,0.032,Well,Hilly,Monsoon,53,High,Hepatitis E
7.09,5.66,6.87,19.18,105.78,60.17,417.0,81.07,17.0,4.0,1.069,Lake,Urban,Spring,4,Low,No Disease - Water is Safe
5.01,27.61,4.14,29.92,1000.0,81.92,11268.0,20.01,1435.0,107.0,0.108,River,Rural,Monsoon,47,High,E. coli Infection
7.42,1.74,9.71,18.27,78.98,60.28,1776.0,77.42,42.0,13.0,1.712,Tap,Urban,Spring,5,Low,No Disease - Water is Safe
7.34,0.9,8.58,26.46,16.14,69.12,216.0,73.11,21.0,33.0,1.836,Lake,Urban,Winter,1,Low,Safe for Consumption
7.26,7.8,6.46,24.5,193.97,81.47,1275.0,50.99,373.0,49.0,0.665,Well,Rural,Summer,14,Medium,Hepatitis A
7.25,12.49,5.32,26.46,132.2,65.27,624.0,64.6,462.0,69.0,0.823,River,Rural,Summer,9,Medium,Diarrhea
7.29,2.4,10.1,22.84,17.92,60.85,753.0,79.2,40.0,3.0,1.238,Groundwater,Urban,Winter,3,Low,No Disease - Water is Safe
9.14,26.4,3.75,32.43,907.22,84.02,4940.0,31.0,1010.0,165.0,0.086,Well,Hilly,Monsoon,49,High,Cryptosporidiosis
6.08,28.9,3.38,36.32,163.85,82.73,4237.0,27.54,1529.0,192.0,0.07,Pond,Rural,Monsoon,45,High,Hepatitis E
6.81,4.26,9.0,26.6,108.17,47.31,357.0,87.27,23.0,17.0,1.639,Tap,Semi-Urban,Winter,2,Low,Safe for Consumption
7.48,3.61,7.62,25.14,59.22,50.12,2109.0,84.88,34.0,16.0,1.433,Tap,Urban,Winter,2,Low,No Disease - Water is Safe
5.37,81.33,3.42,29.44,391.64,78.06,9666.0,44.7,1685.0,137.0,0.101,Well,Rural,Summer,40,High,Cryptosporidiosis
6.58,6.21,6.58,22.9,165.61,66.32,1157.0,62.31,289.0,44.0,0.698,Well,Semi-Urban,Summer,18,Medium,Typhoid
7.06,2.3,9.4,17.13,117.42,67.79,420.0,80.8,54.0,2.0,1.498,Lake,Semi-Urban,Winter,5,Low,Safe for Consumption
8.75,82.82,4.68,34.97,271.87,94.49,12505.0,27.73,1861.0,161.0,0.15,Pond,Rural,Summer,45,High,E. coli Infection
6.69,3.02,6.79,19.74,15.76,79.08,528.0,78.04,12.0,3.0,1.183,Tap,Semi-Urban,Winter,4,Low,No Disease - Water is Safe
7.25,8.97,8.68,23.48,36.59,79.07,293.0,97.64,216.0,7.0,1.347,Tap,Urban,Spring,5,Low,No Disease - Water is Safe
7.63,1.8,9.07,25.27,51.65,64.72,1656.0,74.53,67.0,8.0,1.517,Tap,Urban,Winter,4,Low,Safe for Consumption
7.27,9.76,7.0,24.85,87.21,87.14,121.0,56.13,381.0,40.0,0.814,River,Coastal,Spring,23,Medium,Diarrhea
7.2,0.07,7.95,24.85,23.85,75.54,372.0,86.63,87.0,3.0,1.895,Tap,Semi-Urban,Winter,5,Low,Safe for Consumption
7.31,10.9,6.01,32.63,198.25,84.8,1158.0,35.44,406.0,28.0,0.805,Well,Coastal,Summer,28,Medium,Typhoid
6.86,32.65,4.07,35.25,473.09,91.74,3447.0,15.2,943.0,246.0,0.199,Pond,Rural,Summer,45,High,Cholera
6.93,2.03,8.33,21.17,208.82,60.81,172.0,63.15,29.0,4.0,1.388,Groundwater,Semi-Urban,Spring,0,Low,No Disease - Water is Safe
6.63,1.4,6.71,16.74,130.72,57.43,404.0,79.29,101.0,3.0,1.868,Tap,Urban,Spring,4,Low,Safe for Consumption
9.41,36.02,2.5,28.49,316.35,89.17,8018.0,33.33,1357.0,130.0,0.112,Well,Rural,Summer,41,High,E. coli Infection
7.34,0.82,6.67,21.96,6.93,51.6,122.0,88.86,149.0,27.0,1.483,Tap,Semi-Urban,Winter,4,Low,Safe for Consumption
7.49,8.89,5.73,26.85,160.64,65.46,784.0,51.5,604.0,13.0,0.691,River,Semi-Urban,Summer,19,Medium,Giardiasis
5.94,59.44,4.82,34.81,687.11,88.22,1337.0,14.31,1687.0,172.0,0.255,River,Hilly,Summer,52,High,Cholera
5.92,9.85,5.94,29.34,201.22,95.33,1881.0,57.16,336.0,39.0,0.391,Lake,Coastal,Summer,18,Medium,Typhoid
9.52,22.67,2.57,34.17,336.59,67.76,2962.0,27.83,848.0,165.0,0.1,Well,Rural,Summer,39,High,Cryptosporidiosis
7.27,2.4,9.37,27.21,159.96,55.99,282.0,88.81,169.0,14.0,1.575,Tap,Urban,Spring,3,Low,Safe for Consumption
7.31,13.2,5.92,24.96,122.01,59.44,109.0,55.96,330.0,72.0,0.928,River,Semi-Urban,Spring,22,Medium,Giardiasis
6.84,1.56,9.93,18.91,77.1,53.04,50.0,73.1,43.0,1.0,1.639,Tap,Semi-Urban,Spring,5,Low,Safe for Consumption
7.04,10.21,6.24,34.94,166.76,66.29,375.0,37.81,414.0,47.0,0.903,Well,Rural,Spring,26,Medium,Giardiasis
9.01,28.37,2.38,27.56,160.24,79.27,4017.0,18.4,1802.0,181.0,0.1,River,Rural,Monsoon,48,High,Dysentery
9.78,41.7,4.52,32.84,432.49,85.3,2749.0,32.74,784.0,142.0,0.11,Pond,Coastal,Monsoon,55,High,Cryptosporidiosis
8.91,43.71,1.65,33.7,330.84,90.04,6242.0,30.6,1560.0,201.0,0.111,River,Hilly,Monsoon,47,High,Dysentery
7.22,0.24,8.53,20.92,34.46,36.05,469.0,88.31,83.0,7.0,1.129,Tap,Semi-Urban,Winter,2,Low,No Disease - Water is Safe
9.63,63.77,3.33,32.43,158.5,62.89,8008.0,45.27,1847.0,195.0,0.089,River,Rural,Summer,52,High,E. coli Infection
6.57,10.11,5.55,26.19,130.9,84.61,1678.0,50.23,214.0,35.0,0.733,Well,Semi-Urban,Summer,15,Medium,Diarrhea
6.44,30.94,4.5,30.04,289.98,80.35,14840.0,36.87,1792.0,175.0,0.415,Pond,Rural,Monsoon,40,High,Cryptosporidiosis
7.06,5.6,9.0,16.84,45.99,58.4,50.0,83.69,60.0,8.0,0.843,Groundwater,Urban,Spring,0,Low,Safe for Consumption
5.43,74.07,4.2,29.94,158.41,82.07,11479.0,46.88,1441.0,89.0,0.164,Well,Rural,Monsoon,51,High,Dysentery
5.63,21.61,3.33,28.58,199.67,72.32,13465.0,28.53,2365.0,130.0,0.063,Pond,Hilly,Monsoon,33,High,Cholera
9.07,29.17,1.71,35.63,285.04,79.8,4491.0,47.47,439.0,218.0,0.195,Pond,Hilly,Monsoon,40,High,E. coli Infection
6.03,16.44,7.01,29.04,27.02,86.35,358.0,58.34,174.0,50.0,0.575,Well,Semi-Urban,Summer,24,Medium,Giardiasis
5.84,12.43,4.35,28.71,135.26,67.51,7110.0,52.96,414.0,46.0,0.802,Well,Semi-Urban,Spring,14,Medium,Giardiasis
7.11,4.62,8.02,23.4,90.55,44.7,588.0,79.54,171.0,9.0,1.949,Lake,Urban,Spring,4,Low,Safe for Consumption
6.31,10.99,6.43,30.96,159.07,81.31,5502.0,41.2,434.0,12.0,0.481,Lake,Coastal,Spring,16,Medium,Typhoid
5.51,61.48,2.55,34.88,274.85,81.7,4719.0,36.83,1573.0,122.0,0.433,River,Hilly,Monsoon,46,High,E. coli Infection
7.06,0.2,8.21,20.11,66.06,43.57,50.0,100.0,21.0,0.0,1.889,Tap,Urban,Winter,2,Low,No Disease - Water is Safe
5.55,11.08,5.5,26.61,113.57,56.67,613.0,47.07,461.0,50.0,0.524,River,Semi-Urban,Summer,19,Medium,Giardiasis
6.26,14.24,6.01,27.32,100.61,59.94,2472.0,64.8,534.0,46.0,0.742,Lake,Coastal,Summer,21,Medium,Giardiasis
4.73,55.32,3.61,32.92,173.2,81.24,4715.0,38.18,1711.0,99.0,0.0,Well,Rural,Monsoon,58,High,E. coli Infection
8.03,1.11,7.59,22.47,31.04,80.93,478.0,91.05,6.0,3.0,1.383,Groundwater,Urban,Winter,4,Low,No Disease - Water is Safe
7.97,6.63,7.42,21.51,129.05,84.37,5177.0,50.97,581.0,51.0,0.424,River,Semi-Urban,Summer,16,Medium,Diarrhea
9.7,22.22,3.14,32.27,502.86,84.03,2422.0,22.81,1848.0,98.0,0.039,Pond,Rural,Monsoon,48,High,Hepatitis E
8.03,23.36,6.04,25.86,164.21,60.05,4266.0,54.93,406.0,52.0,1.126,Lake,Coastal,Spring,13,Medium,Giardiasis
8.47,106.58,4.39,36.01,630.05,96.99,1859.0,23.58,1155.0,186.0,0.083,Pond,Hilly,Monsoon,61,High,Cholera
9.52,28.42,3.8,40.43,378.54,73.56,4562.0,31.3,1910.0,123.0,0.122,Pond,Coastal,Monsoon,51,High,Cholera
7.45,11.57,7.03,30.49,128.66,75.87,767.0,53.05,436.0,48.0,0.92,Lake,Coastal,Spring,20,Medium,Giardiasis
7.26,0.29,9.71,17.71,15.27,52.19,1106.0,78.22,47.0,28.0,1.596,Groundwater,Urban,Spring,5,Low,No Disease - Water is Safe
10.0,40.34,4.13,35.25,298.44,69.89,3646.0,28.7,117.0,160.0,0.081,Pond,Coastal,Monsoon,38,High,E. coli Infection
6.72,0.56,9.41,28.1,323.96,49.24,1020.0,92.79,9.0,4.0,1.37,Tap,Semi-Urban,Winter,3,Low,No Disease - Water is Safe
7.12,8.96,8.1,15.85,109.78,64.47,362.0,83.11,152.0,15.0,1.451,Lake,Urban,Spring,3,Low,No Disease - Water is Safe
6.69,9.36,7.4,28.22,165.59,66.34,2224.0,61.5,294.0,16.0,0.956,River,Rural,Summer,16,Medium,Diarrhea
7.32,0.89,8.42,14.49,80.83,45.42,668.0,90.68,256.0,5.0,1.774,Tap,Urban,Spring,5,Low,Safe for Consumption
6.21,12.45,6.86,28.01,143.38,70.23,1407.0,67.4,537.0,57.0,0.665,Well,Rural,Summer,15,Medium,Hepatitis A
7.4,5.67,10.29,25.08,151.73,63.38,653.0,74.86,189.0,7.0,1.48,Groundwater,Urban,Winter,4,Low,No Disease - Water is Safe
7.08,12.71,4.97,18.14,185.99,79.32,162.0,56.0,476.0,17.0,0.62,Well,Coastal,Spring,13,Medium,Typhoid
7.21,3.29,8.2,17.26,47.06,52.82,2611.0,100.0,78.0,0.0,1.427,Tap,Urban,Winter,2,Low,No Disease - Water is Safe
5.42,69.43,3.98,32.43,360.58,73.36,2108.0,34.96,1354.0,118.0,0.08,Well,Rural,Monsoon,68,High,E. coli Infection
7.25,2.18,8.15,28.38,51.72,59.33,494.0,74.63,103.0,8.0,1.689,Lake,Urban,Spring,5,Low,No Disease - Water is Safe
9.3,90.26,4.22,29.7,174.87,78.37,10582.0,31.6,715.0,163.0,0.099,Well,Hilly,Monsoon,51,High,Hepatitis E
5.6,10.3,7.15,26.1,114.33,70.13,54.0,63.49,362.0,24.0,0.733,Well,Coastal,Summer,13,Medium,Hepatitis A
5.42,108.58,3.51,35.77,296.34,80.24,5103.0,45.06,1292.0,87.0,0.27,Well,Coastal,Monsoon,42,High,E. coli Infection
5.71,45.57,2.9,32.17,232.01,96.34,3505.0,23.96,1371.0,133.0,0.026,River,Rural,Summer,50,High,E. coli Infection
6.79,0.91,8.67,19.82,10.42,44.42,278.0,80.79,19.0,3.0,1.512,Tap,Urban,Winter,0,Low,Safe for Consumption
6.67,9.59,5.85,22.1,149.72,51.02,2848.0,52.0,454.0,70.0,0.399,Well,Semi-Urban,Spring,24,Medium,Giardiasis
6.67,13.43,5.75,35.16,182.63,60.67,1037.0,48.45,481.0,26.0,0.953,River,Coastal,Summer,14,Medium,Hepatitis A
6.83,15.73,6.23,27.38,74.1,71.58,310.0,62.17,385.0,48.0,0.828,Well,Rural,Spring,11,Medium,Typhoid
7.15,0.38,8.07,24.06,71.85,54.04,166.0,72.67,8.0,39.0,1.169,Tap,Urban,Spring,5,Low,No Disease - Water is Safe
6.96,4.81,9.23,24.69,25.13,76.89,1915.0,74.5,42.0,1.0,1.561,Lake,Urban,Winter,2,Low,No Disease - Water is Safe
9.03,20.54,1.57,32.53,236.17,83.37,11717.0,28.39,1572.0,167.0,0.161,River,Coastal,Monsoon,43,High,E. coli Infection
8.7,28.03,3.97,29.92,748.78,76.24,2816.0,14.75,947.0,219.0,0.26,Well,Rural,Monsoon,50,High,Cholera
7.4,8.42,8.52,21.1,51.21,59.69,192.0,80.07,141.0,4.0,1.693,Tap,Semi-Urban,Winter,1,Low,No Disease - Water is Safe
6.54,11.05,6.48,28.68,94.16,82.11,1130.0,52.85,328.0,39.0,0.854,River,Rural,Summer,20,Medium,Giardiasis
6.93,0.25,8.31,26.4,2.45,54.57,111.0,73.64,169.0,6.0,1.551,Tap,Semi-Urban,Spring,1,Low,Safe for Consumption
9.53,23.66,2.61,37.77,831.48,77.02,1730.0,39.76,1688.0,82.0,0.302,River,Rural,Monsoon,46,High,E. coli Infection
7.16,2.66,8.3,29.29,150.17,66.57,378.0,80.97,13.0,14.0,1.572,Tap,Semi-Urban,Winter,1,Low,No Disease - Water is Safe
7.3,5.82,7.91,22.24,19.8,58.77,497.0,75.59,75.0,0.0,1.641,Tap,Urban,Spring,1,Low,No Disease - Water is Safe
6.7,2.83,5.99,18.96,15.89,60.3,158.0,79.83,180.0,3.0,2.168,Groundwater,Semi-Urban,Winter,4,Low,No Disease - Water is Safe
7.07,0.59,9.19,21.88,109.97,40.77,341.0,79.67,79.0,17.0,1.11,Lake,Urban,Spring,8,Low,No Disease - Water is Safe
6.72,8.25,5.87,33.49,75.19,64.26,2504.0,53.82,266.0,23.0,0.441,River,Coastal,Spring,27,Medium,Diarrhea
5.58,70.63,3.07,33.32,378.23,85.47,9340.0,36.51,1254.0,138.0,0.209,Well,Hilly,Summer,49,High,Cholera
7.38,12.42,4.64,31.3,160.91,69.14,1260.0,44.24,471.0,43.0,0.906,Lake,Semi-Urban,Spring,15,Medium,Giardiasis
7.12,2.32,8.74,21.42,33.35,65.47,51.0,79.68,148.0,21.0,1.325,Lake,Urban,Winter,7,Low,No Disease - Water is Safe
6.58,18.75,6.2,34.64,202.84,64.18,1294.0,50.4,369.0,28.0,0.647,Lake,Semi-Urban,Summer,21,Medium,Hepatitis A
7.11,11.04,5.59,25.73,80.31,64.43,4301.0,47.43,372.0,33.0,0.573,Lake,Rural,Spring,16,Medium,Typhoid
6.38,13.52,6.65,33.69,213.61,72.82,201.0,60.68,437.0,53.0,0.519,Lake,Coastal,Summer,24,Medium,Diarrhea
7.49,1.35,9.3,21.05,44.57,45.82,730.0,80.85,26.0,8.0,1.261,Tap,Urban,Winter,4,Low,Safe for Consumption
6.87,0.25,8.29,28.44,33.52,39.03,684.0,88.98,74.0,2.0,1.478,Tap,Urban,Winter,4,Low,Safe for Consumption
7.05,1.3,8.89,25.53,35.69,49.16,82.0,74.88,24.0,4.0,1.945,Tap,Urban,Spring,2,Low,No Disease - Water is Safe
7.17,4.92,7.29,21.11,4.65,57.72,655.0,85.15,46.0,1.0,1.301,Lake,Urban,Spring,2,Low,Safe for Consumption
5.66,22.66,3.0,36.94,501.97,87.76,2265.0,42.7,1924.0,216.0,0.052,River,Rural,Monsoon,50,High,E. coli Infection
6.7,15.31,6.28,25.35,106.04,52.53,1005.0,63.17,286.0,71.0,0.993,Lake,Semi-Urban,Summer,14,Medium,Typhoid
7.28,7.8,6.4,33.49,185.46,72.1,3745.0,45.6,450.0,27.0,0.826,Well,Semi-Urban,Summer,14,Medium,Hepatitis A
6.7,10.1,6.29,27.44,174.06,69.47,122.0,60.13,727.0,48.0,0.695,Well,Semi-Urban,Summer,18,Medium,Giardiasis
7.39,10.22,5.34,37.39,124.28,66.11,1095.0,57.22,465.0,66.0,0.527,River,Semi-Urban,Summer,19,Medium,Giardiasis
7.39,0.36,9.89,14.0,82.05,48.32,335.0,78.28,70.0,2.0,2.078,Tap,Semi-Urban,Winter,2,Low,No Disease - Water is Safe
7.34,0.16,9.42,16.52,9.37,50.3,194.0,83.04,46.0,10.0,1.823,Tap,Urban,Winter,3,Low,Safe for Consumption
9.51,33.61,4.65,35.41,738.48,80.39,3702.0,25.97,1802.0,103.0,0.144,Pond,Hilly,Monsoon,64,High,E. coli Infection
6.87,4.82,7.51,24.16,122.11,61.02,433.0,84.05,50.0,2.0,1.761,Tap,Semi-Urban,Spring,2,Low,Safe for Consumption
7.48,8.7,6.85,24.52,124.03,73.66,520.0,58.12,405.0,59.0,0.622,Lake,Semi-Urban,Summer,23,Medium,Typhoid
6.14,12.41,5.7,31.54,204.22,55.09,2673.0,59.97,508.0,57.0,0.997,River,Semi-Urban,Spring,23,Medium,Giardiasis
8.89,72.66,3.38,30.88,577.73,71.95,2416.0,32.41,786.0,134.0,0.184,Pond,Rural,Summer,42,High,Hepatitis E
6.8,0.03,8.86,23.07,58.55,53.92,1170.0,76.99,40.0,10.0,0.943,Groundwater,Semi-Urban,Winter,4,Low,Safe for Consumption
7.21,5.93,8.19,20.5,20.1,44.2,264.0,85.85,35.0,5.0,1.377,Lake,Semi-Urban,Spring,1,Low,Safe for Consumption
5.27,42.74,2.58,34.66,346.08,95.0,10353.0,41.72,1687.0,53.0,0.09,Pond,Coastal,Monsoon,47,High,Cholera
7.05,16.24,4.6,23.76,178.8,68.25,479.0,42.78,282.0,48.0,0.792,Well,Coastal,Summer,10,Medium,Hepatitis A
6.9,0.05,7.62,26.5,52.61,76.99,105.0,75.5,46.0,3.0,1.688,Groundwater,Urban,Spring,2,Low,Safe for Consumption
5.53,29.88,2.99,29.97,174.51,71.7,11234.0,13.88,1723.0,136.0,0.184,Pond,Rural,Monsoon,41,High,Hepatitis E
7.3,0.66,8.79,24.15,0.21,51.07,50.0,67.3,94.0,7.0,1.438,Tap,Urban,Spring,1,Low,Safe for Consumption
5.14,83.61,3.61,33.76,230.85,85.88,10066.0,40.62,1368.0,191.0,0.104,Pond,Rural,Monsoon,49,High,Cholera
7.02,10.03,5.96,22.82,152.09,70.75,207.0,47.95,472.0,50.0,0.928,River,Semi-Urban,Summer,14,Medium,Giardiasis
